"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","2007 Porsche 911 Turbo 6-Speed","https://bringatrailer.com/listing/2007-porsche-911-turbo-64/","Sold for $65,500 on 4/16/20","Location: Plano, Texas 75025","Chassis: WP0AD29947S783618","54k Miles Shown","Twin-Turbo 3.6L Flat-Six","6-Speed Manual Transaxle","GT Silver Metallic","Special Terracotta Leather","Heated Adaptive Sport Seats","Sport Chrono Package","Factory Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1979 MG MGB Limited Edition","https://bringatrailer.com/listing/1979-mg-mgb-28/","Sold for $13,500 on 4/16/20","Location: Naples, Florida 34104","Chassis: GHN5UL492276G","7k Miles Shown","1.8L Inline-Four","4-Speed Manual Gearbox","Limited Edition Example","Black Over Black","New Soft Top","14"" GKN Alloy Wheels","Service Records From 2010","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $250.00 Document Fee","","","","","","","","","","","","","1"
"","31k-Mile 1999 Mercedes-Benz SL500","https://bringatrailer.com/listing/1999-mercedes-benz-sl500-58/","Sold for $20,000 on 4/16/20","Location: Neptune, New Jersey 07753","Chassis: WDBFA68FXXF186171","31k Miles Shown","5.0-Liter M113 V8","Five-Speed Automatic Transmission","Brilliant Silver Metallic","Ash Nappa Leather","Removable Hardtop","AMG Styling Enhancements","SL1 and SL2 Packages","18"" Monoblock Wheels","New Soft Top Hydraulics","Window Sticker and Owner's Kit","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","No Reserve: 1998 Porsche Boxster 5-Speed","https://bringatrailer.com/listing/1998-porsche-boxster-23/","Sold for $9,785 on 4/16/20","Location: Cary, Illinois 60013","Chassis: WP0CA2985WU621783","79k Miles","2.5L M96 Flat-Six","Five-Speed Manual Transaxle","Arctic Silver Paint","Powered Black Soft Top","Boxster Red Leather","Automatic Climate Control","Cruise Control","Kenwood Stereo","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1972 Volkswagen Karmann Ghia Convertible Project","https://bringatrailer.com/listing/1972-volkswagen-karmann-ghia-convertible-3/","Sold for $5,900 on 4/16/20","Location: Minneapolis, Minnesota 55409","Chassis: 142 2360310","98k Miles Shown, TMU","1.6-Liter Flat-Four","Four-Speed Manual Transaxle","Black Soft Top","EMPI GT Steering Wheel","Body and Paint Damage","Rust in Body and Underside","Jack, Spare Wheel and Tire","Partial Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2006 Lexus LX470","https://bringatrailer.com/listing/2006-lexus-lx470/","Sold for $14,999 on 4/16/20","Location: Doylestown, Pennsylvania 18901","Chassis: JTJHT00W764016659","157k Miles","4.7L V8","5-Speed Automatic Transmission","2-Speed Transfer Case","Crystal White Pearl","Ivory Leather","Dealer Service Summary Document","Carfax Report","Private Party or Dealer: Dealer","","","","","","","","","","","","","","1"
"","29k-Mile Supercharged 2007 Porsche 911 Carrera 4S","https://bringatrailer.com/listing/2007-porsche-911-carrera-4s-23/","Bid to $29,750 on 4/16/20","Location: Cary, Illinois 60013","Chassis: WP0AB29907S733000","3.8L Flat-Six","Five-Speed Tiptronic Automatic Transaxle","VF Engineering Supercharger","Air-to-Water Aftercooler","High-Flow Water Pump","Sport Chrono Package Plus","Heated Power Front Seats","Bose High-End Sound","19"" Carrera Sport Wheels","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1983 Mercedes-Benz 380SL","https://bringatrailer.com/listing/1983-mercedes-benz-380sl-45/","Bid to $6,700 on 4/16/20","Location: San Diego, California 92110","Chassis: WDBBA45AXDB026631","122k Miles Shown","3.8-Liter V8","4-Speed Automatic Transmission","Black Exterior over Gray MB-Tex","Matching Hardtop and Black Convertible Top","Alpine CD Head Unit","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","1987 Alfa Romeo Spider Quadrifoglio","https://bringatrailer.com/listing/1987-alfa-romeo-spider-quadrafolio/","Sold for $9,077 on 4/16/20","Location: Los Angeles, California 90025","Chassis: ZARBA5562H1052810","51k Miles Shown","2.0L Twin-Cam Inline-Four","5-Speed Manual","Alfa Red","Gray and Red Interior","Removable Hardtop","Repainted","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","No Reserve: 2003 Mercedes-Benz S55 AMG","https://bringatrailer.com/listing/2003-mercedes-benz-s55-amg-12/","Sold for $15,000 on 4/16/20","Location: North Royalton, Ohio 44133","Chassis: WDBNG74J23A333228","61k Miles Shown","Supercharged 5.4-Liter V8","Five-Speed Automatic Transmission","Brilliant Silver Metallic","Anthracite Leather","Active Body Control Suspension","Dynamic Seats with Heat and Ventilation","Bose Audio","Parktronic","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1976 Jaguar XJ12L","https://bringatrailer.com/listing/1976-jaguar-xj12l-2/","Sold for $12,500 on 4/16/20","Location: Scottsdale, Arizona 85259","Chassis: UG2R56369BW","79k Miles Shown","5.3-Liter V12","Three-Speed Automatic Transmission","Silver Exterior","Re-Dyed Red Leather","Air Conditioning","Burl Wood Dash Panel","Recent Services","Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","No Reserve: 1949 Dodge B1B Carryall Woodie","https://bringatrailer.com/listing/1949-dodge-b1b-woody-wagon/","Sold for $18,000 on 4/16/20","Location: Savannah, Georgia 31405","Chassis: 82084794","49k Miles Shown, TMU","Replacement 230ci Mopar Inline-Six","Three-Speed Floor Shifted Manual","Black Metal Bodywork","Campbell Wood Body","Single Family Ownership until 2018","Recent Services","Private Party or Dealer: Dealer","","","","","","","","","","","","","","","1"
"","8k-Mile 2008 Jaguar XKR Portfolio Convertible","https://bringatrailer.com/listing/2008-jaguar-xkr-13/","Sold for $41,000 on 4/16/20","Location: Fort Lauderdale, Florida 33308","Chassis: SAJWA44C889B21955","8,400 Miles","Supercharged 4.2-Liter V8","6-Speed Automatic Transmission","Celestial Black over Charcoal Leather","Black Convertible Top","20″ Factory Wheels","Heated Front Seats","Navigation","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","1985 Land Rover Defender 110","https://bringatrailer.com/listing/1985-land-rover-defender-110-east-coast-heritgage-edition/","Bid to $48,500 on 4/16/20","Location: North Salem, New York 10560","Chassis: SALLDHMC8BA244605","108k Miles Shown","Customized by East Coast Defender","Replacement 2.5-Liter 300Tdi Inline Four","Five-Speed R380 Manual Gearbox","Repainted Keswick Green w/Cream roof","Roof Rack, Ladder & Side Steps","Terrafirma Suspension","Air Conditioning","Clarion Touchscreen","Remote Keyless Entry & Alarm","Refurbishment Photos","East Coast Defender Invoice","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","Wood-Bodied 1927 Chevrolet Roadster","https://bringatrailer.com/listing/1927-chevolet-woodie-roadster/","Bid to $9,200 on 4/16/20","Location: Council Bluffs, Iowa 51503","Chassis: 65AA12470","TMU","Carbureted 4.3-Liter V6","Four-Speed 700R4 Automatic Transmission","Power-Assisted Disc Brakes","Super Bell Front Axle","Chevrolet S10 Rear Axle","Red Over Red & White Vinyl","Custom-Built Wood Body","1948 Pontiac Instrument Cluster","Heated Front Bench Seat","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","No Reserve: 2010 BMW 328xi Sports Wagon","https://bringatrailer.com/listing/2010-bmw-328-8/","Sold for $16,750 on 4/16/20","Location: North Royalton, Ohio 44133","Chassis: WBAUU3C58AA541112","61k Miles Shown","3.0-Liter Inline-Six","Six-Speed Automatic Transmission","All-Wheel Drive","Space Gray Metallic over Black Leather","Sport Package","Power-Adjustable Heated Front Seats","Panoramic Sunroof","Park Distance Control","Rear Window Shades","Bi-Xenon Headlights","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","No Reserve: 2004 Land Rover Discovery","https://bringatrailer.com/listing/2004-land-rover-discovery-46/","Sold for $10,000 on 4/16/20","Location: Houston, Texas 77008","Chassis: SALTP19404A840325","118k Miles Indicated","4.6-Liter V8","4-Speed Automatic Transmission","2-Speed Transfer Case","Black over Beige Leather","Black 18"" Alloy Wheels","Dual Power Sunroofs","2"" Leveling Kit","Terrafirma Bumpers","Warn Winch","JVC Stereo","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1951 MG TD","https://bringatrailer.com/listing/1951-mg-td-23/","Sold for $12,750 on 4/16/20","Location: Goodyear, Arizona 85338","Chassis: TD2975F84","0 Miles Shown, TMU","2.0-Liter Volvo B20 Inline-Four","Four-Speed Manual Transmission","Triple Black","Red Grille Inserts & Wheels","Soft Top & Side Curtains","MGB Front Disc Brakes","Electric Fuel Pump & Cooling Fan","Alternator Conversion","Service Records","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","38k-Mile 1998 BMW M Roadster","https://bringatrailer.com/listing/1998-bmw-m-roadster-40/","Sold for $18,250 on 4/16/20","Location: Falls Church, Virginia 22041","Chassis: WBSCK9332WLC85210","38k Miles Shown","3.2-Liter Inline-Six","Five-Speed Manual Transmission","Limited-Slip Differential","Imola Red over Black Nappa Leather","Heated Sports Seats","Roll Hoops","H&R Springs","Koni Adjustable Shocks","Service Records","Factory Literature","Window Sticker","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","39k-Mile 1987 Volkswagen Cabriolet 5-Speed","https://bringatrailer.com/listing/1987-volkswagen-cabriolet-6/","Sold for $12,500 on 4/16/20","Location: Los Angeles, California 90025","Chassis: WVWCA0152HK013773","39k Miles Shown","1.8L Inline-Four","5-Speed Manual","Tornado Red w/White Top","White and Gray Interior","13"" Wheels","Included Factory Radios","Top Boot","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","Modified 1978 Ford Bronco","https://bringatrailer.com/listing/1978-ford-bronco-3/","Sold for $41,500 on 4/16/20","Location: Washington, District of Columbia 20057","Chassis: U15SLAE8042","60k Miles Shown, TMU","Replacement 545ci V8 Stroker","FAST Multi-Port Fuel Injection","Doug Thorley Headers","ZF Five-Speed Manual Transmission","NP205 Transfer Case","Red w/White Hardtop over Tan","8"" Lift","ProtoFab Bumpers","Warn Winch","Roll Cage","45-Gallon Fuel Tank","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","No Reserve: 2003 Audi RS6","https://bringatrailer.com/listing/2003-audi-rs6-71/","Sold for $16,000 on 4/16/20","Location: Reseda, California 91335","Chassis: WUAPV54BX3N904456","73k Miles Shown","Twin-Turbocharged 4.2-Liter V8","5-Speed Automatic Transmission","Daytona Gray Pearl over Silver Leather","Xenon Headlamps","Power Sunroof","Koni Suspension","Miltek Exhaust","OC.T Tuning ECU","Service Records","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","500-Mile Porsche 356 Speedster Replica by Vintage Motorcars","https://bringatrailer.com/listing/1957-vintage-motorcars-of-california-356-speedster-replica/","Sold for $81,000 on 4/16/20","Location: Alpharetta, Georgia 30004","Chassis: 119954765","500 Miles Shown","FAT Performance 2,650cc Type 4 Flat-Four","Rancho Performance Four-Speed Manual Transaxle","Slate Gray over Red Leather","Black Soft Top, Side Curtains, Top Boot","Hard Cover w/Helmet Fairing","Independent Rear Suspension","A1 Sidewinder Exhaust System","Four-Wheel Disc Brakes","Heated Seats","RetroSound Stereo","Engine Build & Dyno Sheet","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1982 Honda XL500R","https://bringatrailer.com/listing/1982-honda-xl500r/","Sold for $5,400 on 4/16/20","Location: Westlake Village, California 91361","Chassis: JH2PD0205CM008258","4k Miles Shown","498cc Four-Stroke Single","Five-Speed Transmission","Red Paint","Black Upholstered Seat","Rebuilt Carburetor","Street Lighting","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","2k-Mile 2018 Ford Mustang Shelby GT350R","https://bringatrailer.com/listing/2018-ford-mustang-gt350r-3/","Sold for $57,500 on 4/16/20","Location: Charlotte, North Carolina 28269","Chassis: 1FA6P8JZ5J5503650","2,240 Miles","5.2-liter Voodoo V8","6-Speed Manual Transmission","Torsen LSD","Shadow Black w/ Black & Red Stripe","Ebony Black Cloth with Miko Suede Inserts","Recaro Seats","MagneRide Suspension","Electronics Package","Window Sticker","Clean Carfax","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0 Document Fee","","","","","","","","","","1"
"","No Reserve: 35k-Mile 1999 Mercedes-Benz E430","https://bringatrailer.com/listing/1999-mercedes-benz-e430-4/","Sold for $12,250 on 4/16/20","Location: San Diego, California 92130","Chassis: WDBJF70H9XA791097","35k Miles Shown","4.3-Liter M113 V8","Five-Speed Automatic Transmission","Smoke Silver Metallic","Parchement Leather","Power Sunroof","Memory Front Seats","18"" AMG Wheels","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1986 Land Rover 110 200Tdi","https://bringatrailer.com/listing/1986-land-rover-one-ten-27/","Sold for $20,250 on 4/16/20","Location: La Grange, Kentucky 40031","Chassis: SALLDHAC8BA301757","44k Kilometers (~27k Miles) Shown, TMU","Replacement 200Tdi Turbodiesel Inline-Four","5-Speed Manual Gearbox","2-Speed Transfer Case","Power Steering Retrofit","Used by British Army","Imported to US in 2019","Recent Fluid Change","Exmoor Seat Upholstery","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0 Document Fee","","","","","","","","","","","","1"
"","29k-Mile 1987 BMW 325i","https://bringatrailer.com/listing/1987-bmw-325i-45/","Sold for $17,000 on 4/16/20","Location: Dallas, Texas 75225","Chassis: WBABB2306H1942082","29k Miles Shown","2.5-Liter Inline-Six","Four-Speed Automatic Transmission","Factory 25% Locking Differential","Cinnabar Red over Black Leather","Black Soft Top","Sport Seats","R134a Air Conditioning Conversion","Manufacturer's Literature","Tool Kit","Service Records 2014-Present","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","2014 Mercedes-Benz E63 AMG S 4MATIC Wagon","https://bringatrailer.com/listing/2014-mercedes-benz-e63s-amg-wagon/","Sold for $50,000 on 4/16/20","Location: Menlo Park, California 94025","Chassis: WDDHH7GB4EA986491","42k Miles Shown","Twin-Turbocharged 5.5-Liter V8","7-Speed Automatic Transmission","4MATIC All-Wheel Drive","Black over Black Nappa Leather","19"" AMG Wheels","Drilled and Slotted Brake Rotors","Lane Tracking Package","AMG Parking Assist Package","Driver Assistance Package","Bang & Olufsen Sound","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","19-Years-Owned 1981 Honda CM400A","https://bringatrailer.com/listing/1981-honda-honda-cm400a-motorcycle/","Bid to $2,600 on 4/16/20","Location: San Diego, California 92109","Chassis: JN2NC0201BM206831","Owned 21 Years","1,000 Miles Shown","395cc Parallel Twin","Two-Speed Hondamatic Transmission","Candy Bourgogne Red & Red Brown Metallic","Sissy Seat w/Rack","Dual Mirrors","Alloy Wheels","Recent Oil Change & Spark Plugs","Owner's Manual & Tools","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","43k-Mile 1998 Mercedes-Benz S600","https://bringatrailer.com/listing/1998-mercedes-benz-s600/","Sold for $26,000 on 4/16/20","Location: Rehoboth Beach, Delaware 19971","Chassis: WDBGA57G0WA397254","43k Miles Shown","6.0-Liter V12","Five-Speed Automatic Transmission","Black over Gray Nappa Leather","Adaptive Damping System","Heated Power-Adjustable Front and Rear Seats","Rear Climate Control","Burl Walnut Trim","Bose Beta Sound System","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1999 BMW M3 Convertible","https://bringatrailer.com/listing/1999-bmw-m3-convertible-45/","Sold for $11,000 on 4/16/20","Location: Wilsonville, Oregon 97070","Chassis: WBSBK0338XEC40687","96k Miles Shown","3.2-Liter S52 Inline-Six","Five-Speed Automatic Transmission","Hellrot over Black","Black Convertible Soft Top","17″ M-Contour Wheels","Automatic Climate Control","Recent Services","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
